,,2016 a 2018,,2019 a 2023,,,
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T048N0,V3019,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T049N0,V3019A,1,"Sim, curso técnico de nível médio",1,"Sim, curso técnico de nível médio",VERDADEIRO,VERDADEIRO
,,2,"Sim, curso normal (magistério)",2,"Sim, curso normal (magistério)",VERDADEIRO,VERDADEIRO
,,3,Não,3,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T050N0,V3020,1,Após a conclusão do ensino médio (forma subsequente),1,Após a conclusão do ensino médio (forma subsequente),VERDADEIRO,VERDADEIRO
,,2,No mesmo curso do ensino médio (forma integrada ao ensino médio - 1 matrícula),2,No mesmo curso do ensino médio (forma integrada ao ensino médio - 1 matrícula),VERDADEIRO,VERDADEIRO
,,3,O ensino médio é realizado em um curso e o técnico em outro (forma concomitante com o ensino médio - duas matrículas),3,O ensino médio é realizado em um curso e o técnico em outro (forma concomitante com o ensino médio - duas matrículas),VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T051N0,V3020B,1,Curso após a conclusão do ensino médio (forma subsequente),1,Curso após a conclusão do ensino médio (forma subsequente),VERDADEIRO,VERDADEIRO
,,2,Curso no mesmo curso do ensino médio (forma integrada ao ensino médio - 1 matrícula),2,Curso no mesmo curso do ensino médio (forma integrada ao ensino médio - 1 matrícula),VERDADEIRO,VERDADEIRO
,,3,Curso realizado em um curso e o ensino médio em outro (forma concomitante com o ensino médio - duas matrículas),3,Curso realizado em um curso e o ensino médio em outro (forma concomitante com o ensino médio - duas matrículas),VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T052N0,V3020C,1,"Instituição pública (federal, estadual, municipal)",1,"Instituição pública (federal, estadual, municipal)",VERDADEIRO,VERDADEIRO
,,2,"SENAI, SESI, SENAC, SESC ou outra instituição dos Serviços Nacionais de Aprendizagem",2,"SENAI, SESI, SENAC, SESC ou outra instituição dos Serviços Nacionais de Aprendizagem",VERDADEIRO,VERDADEIRO
,,3,Outra instituição particular,3,Outra instituição particular,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T053N0,V3021,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T054N0,V3021A,1,"Sim, curso técnico de nível médio",1,"Sim, curso técnico de nível médio",VERDADEIRO,VERDADEIRO
,,2,"Sim, curso normal (magistério)",2,"Sim, curso normal (magistério)",VERDADEIRO,VERDADEIRO
,,3,Não,3,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T055N0,V3022,1,Após a conclusão do ensino médio (forma subsequente),1,Após a conclusão do ensino médio (forma subsequente),VERDADEIRO,VERDADEIRO
,,2,No mesmo curso do ensino médio (forma integrada ao ensino médio - 1 matrícula),2,No mesmo curso do ensino médio (forma integrada ao ensino médio - 1 matrícula),VERDADEIRO,VERDADEIRO
,,3,O ensino médio é realizado em um curso e o técnico em outro (forma concomitante com o ensino médio - duas matrículas),3,O ensino médio é realizado em um curso e o técnico em outro (forma concomitante com o ensino médio - duas matrículas),VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T056N0,V3022A,1,Até 2007,1,Até 2007,VERDADEIRO,VERDADEIRO
,,2,2008 a 2010,2,2008 a 2010,VERDADEIRO,VERDADEIRO
,,3,2011 em diante:,3,2011 em diante:,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T057N0,V3022C,1,Curso após a conclusão do ensino médio (forma subsequente),1,Curso após a conclusão do ensino médio (forma subsequente),VERDADEIRO,VERDADEIRO
,,2,Curso no mesmo curso do ensino médio (forma integrada ao ensino médio - 1 matrícula),2,Curso no mesmo curso do ensino médio (forma integrada ao ensino médio - 1 matrícula),VERDADEIRO,VERDADEIRO
,,3,Curso realizado em um curso e o ensino médio em outro (forma concomitante com o ensino médio - duas matrículas),3,Curso realizado em um curso e o ensino médio em outro (forma concomitante com o ensino médio - duas matrículas),VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T058N0,V3022D,1,"Instituição pública (federal, estadual, municipal)",1,"Instituição pública (federal, estadual, municipal)",VERDADEIRO,VERDADEIRO
,,2,"SENAI, SESI, SENAC, SESC ou outra instituição dos Serviços Nacionais de Aprendizagem",2,"SENAI, SESI, SENAC, SESC ou outra instituição dos Serviços Nacionais de Aprendizagem",VERDADEIRO,VERDADEIRO
,,3,Outra instituição particular,3,Outra instituição particular,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T059N0,V3022E,1,Até 2010,1,Até 2010,VERDADEIRO,VERDADEIRO
,,2,2011 em diante,2,2011 em diante,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T060N0,V3023,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T061N0,V3023a,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T062N0,V3024,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T063N0,V3025,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T064N0,V3026,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T065N0,V3026A,1,"Instituição pública (federal, estadual ou municipal)",1,"Instituição pública (federal, estadual ou municipal)",VERDADEIRO,VERDADEIRO
,,2,"SENAI, SESI, SENAC, SESC ou outra instituição dos Serviços Nacionais de Aprendizagem",2,"SENAI, SESI, SENAC, SESC ou outra instituição dos Serviços Nacionais de Aprendizagem",VERDADEIRO,VERDADEIRO
,,3,Empreendimento em que trabalha,3,Empreendimento em que trabalha,VERDADEIRO,VERDADEIRO
,,4,Outra instituição particular,4,Outra instituição particular,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T066N0,V3028,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T067N0,V3029,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T068N0,V3029A,1,Até 2010,1,Até 2010,VERDADEIRO,VERDADEIRO
,,2,2011 em diante,2,2011 em diante,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T069N0,V3030,1,Até 2007,1,Até 2007,VERDADEIRO,VERDADEIRO
,,2,De 2008 a 2010,2,De 2008 a 2010,VERDADEIRO,VERDADEIRO
,,3,2011 em diante,3,2011 em diante,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T070N0,V3030A,1,"Instituição de pública (federal, estadual ou municipal)",1,"Instituição de pública (federal, estadual ou municipal)",VERDADEIRO,VERDADEIRO
,,2,"SENAI, SESI, SENAC, SESC ou outra instituição dos Serviços Nacionais de Aprendizagem",2,"SENAI, SESI, SENAC, SESC ou outra instituição dos Serviços Nacionais de Aprendizagem",VERDADEIRO,VERDADEIRO
,,3,Empreendimento em que trabalha,3,Empreendimento em que trabalha,VERDADEIRO,VERDADEIRO
,,4,Outra instituição particular,4,Outra instituição particular,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T071N0,V3032,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T072N0,V3033,1,Não tem escola ou creche na localidade ou a escola fica distante,1,Não tem escola ou creche na localidade ou a escola fica distante,VERDADEIRO,VERDADEIRO
,,2,Falta de vaga na escola ou creche,2,Falta de vaga na escola ou creche,VERDADEIRO,VERDADEIRO
,,3,"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)",3,"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)",VERDADEIRO,VERDADEIRO
,,4,Os pais ou responsáveis não querem que frequente,4,Os pais ou responsáveis não querem que frequente,VERDADEIRO,VERDADEIRO
,,5,Problema de saúde ou de deficiência (física ou mental),5,Problema de saúde ou de deficiência (física ou mental),VERDADEIRO,VERDADEIRO
,,6,Outro motivo,6,Outro motivo,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T073N0,V3033A,1,Não tem escola ou creche ou a escola fica distante,1,Não tem escola ou creche ou a escola fica distante,VERDADEIRO,VERDADEIRO
,,2,Falta de vaga na escola ou creche,2,Falta de vaga na escola ou creche,VERDADEIRO,VERDADEIRO
,,3,A escola ou creche não aceita a criança por conta da idade,3,A escola ou creche não aceita a criança por conta da idade,VERDADEIRO,VERDADEIRO
,,4,"Falta de dinheiro para pagar a mensalidade, transporte, material escolar etc.",4,"Falta de dinheiro para pagar a mensalidade, transporte, material escolar etc.",VERDADEIRO,VERDADEIRO
,,5,As escola ou creches não são boas ou seguras ou adaptadas para criança com deficiência,5,As escola ou creches não são boas ou seguras ou adaptadas para criança com deficiência,VERDADEIRO,VERDADEIRO
,,6,Problema de saúde permanente da criança,6,Problema de saúde permanente da criança,VERDADEIRO,VERDADEIRO
,,7,"Por opção dos pais ou responsáveis (acham muito nova para ir a escoa, preferem cuidar em casa etc.)",7,"Por opção dos pais ou responsáveis (acham muito nova para ir a escoa, preferem cuidar em casa etc.)",VERDADEIRO,VERDADEIRO
,,8,Outro motivo,8,Outro motivo,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T074N0,V3033B,1,Com algum dois pais ou responsáveis pela criança,1,Com algum dois pais ou responsáveis pela criança,VERDADEIRO,VERDADEIRO
,,2,Com outro morador do domicílio,2,Com outro morador do domicílio,VERDADEIRO,VERDADEIRO
,,3,Com parente não morador do domicílio,3,Com parente não morador do domicílio,VERDADEIRO,VERDADEIRO
,,4,Com outra pessoa não moradora do domicílio (inclusive trabalhadores domésticos),4,Com outra pessoa não moradora do domicílio (inclusive trabalhadores domésticos),VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T075N0,V3034,01,"Trabalha, está procurando trabalho ou conseguiu trabalho que vai começar em breve ",01,"Trabalha, está procurando trabalho ou conseguiu trabalho que vai começar em breve ",VERDADEIRO,VERDADEIRO
,,02,Não tem escola na localidade ou a escola fica distante,02,Não tem escola na localidade ou a escola fica distante,VERDADEIRO,VERDADEIRO
,,03,Falta de vaga na escola,03,Falta de vaga na escola,VERDADEIRO,VERDADEIRO
,,04,"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)",04,"Falta de dinheiro para pagar as despesas (mensalidade, transporte, material escolar etc)",VERDADEIRO,VERDADEIRO
,,05,Por gravidez,05,Por gravidez,VERDADEIRO,VERDADEIRO
,,06,Por ter que cuidar de criança ou adolescente,06,Por ter que cuidar de criança ou adolescente,VERDADEIRO,VERDADEIRO
,,07,Por ter que cuidar dos afazeres domésticos ou de idoso ou pessoa com necessidades especiais,07,Por ter que cuidar dos afazeres domésticos ou de idoso ou pessoa com necessidades especiais,VERDADEIRO,VERDADEIRO
,,08,Estudando para concurso ou estudando por conta própria para vestibular,08,Estudando para concurso ou estudando por conta própria para vestibular,VERDADEIRO,VERDADEIRO
,,09,Por já ter concluído o nível de estudo que desejava,09,Por já ter concluído o nível de estudo que desejava,VERDADEIRO,VERDADEIRO
,,10,Desistiu por não ter sido aprovado no vestibular ou ENEM,10,Desistiu por não ter sido aprovado no vestibular ou ENEM,VERDADEIRO,VERDADEIRO
,,11,Por problema de saúde ou de deficiência (física ou mental),11,Por problema de saúde ou de deficiência (física ou mental),VERDADEIRO,VERDADEIRO
,,12,Não tem interesse,12,Não tem interesse,VERDADEIRO,VERDADEIRO
,,13,Outro motivo,13,Outro motivo,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T076N0,V3034A,5 a 98,Idade (em anos),5 a 98,Idade (em anos),VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T077N0,V3034B,01,Precisava trabalhar,01,Precisava trabalhar,VERDADEIRO,VERDADEIRO
,,02,Não tinha escola na localidade ou esta ficava distante,02,Não tinha escola na localidade ou esta ficava distante,VERDADEIRO,VERDADEIRO
,,03,Faltava vaga na escola ou não tinha turno letivo desejado,03,Faltava vaga na escola ou não tinha turno letivo desejado,VERDADEIRO,VERDADEIRO
,,04,"Faltava de dinheiro para pagar mensalidade, transporte, material escolar etc.",04,"Faltava de dinheiro para pagar mensalidade, transporte, material escolar etc.",VERDADEIRO,VERDADEIRO
,,05,Por gravidez,05,Por gravidez,VERDADEIRO,VERDADEIRO
,,06,"Tinha que realizar afazeres domésticos ou cuidar de criança, adolescente, idoso ou pessoa com deficiência",06,"Tinha que realizar afazeres domésticos ou cuidar de criança, adolescente, idoso ou pessoa com deficiência",VERDADEIRO,VERDADEIRO
,,07,Desistiu por não aprender ou por excesso de repetência,07,Desistiu por não aprender ou por excesso de repetência,VERDADEIRO,VERDADEIRO
,,08,Ter concluído o nível de estudo que desejava,08,Ter concluído o nível de estudo que desejava,VERDADEIRO,VERDADEIRO
,,09,A escola não era adaptada para pessoa com deficiência,09,A escola não era adaptada para pessoa com deficiência,VERDADEIRO,VERDADEIRO
,,10,Por ter problema de saúde permanente,10,Por ter problema de saúde permanente,VERDADEIRO,VERDADEIRO
,,11,Não tinha interesse em estudar,11,Não tinha interesse em estudar,VERDADEIRO,VERDADEIRO
,,12,Outro motivo,12,Outro motivo,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T078N0,V3034C,01,Trabalhava ou estava procurando trabalho,01,Trabalhava ou estava procurando trabalho,VERDADEIRO,VERDADEIRO
,,02,Não tem escola ou faculdade na localidade ou ficam distantes,02,Não tem escola ou faculdade na localidade ou ficam distantes,VERDADEIRO,VERDADEIRO
,,03,Falta de vaga na escola ou no turno letivo desejado,03,Falta de vaga na escola ou no turno letivo desejado,VERDADEIRO,VERDADEIRO
,,04,"Não tem curso ou vaga nos cursos de interesse (nível técnico, qualificação profissional ou pré-vestibular)",04,"Não tem curso ou vaga nos cursos de interesse (nível técnico, qualificação profissional ou pré-vestibular)",VERDADEIRO,VERDADEIRO
,,05,"Falta de dinheiro para pagar mensalidade, transporte, material escolar etc.",05,"Falta de dinheiro para pagar mensalidade, transporte, material escolar etc.",VERDADEIRO,VERDADEIRO
,,06,Por gravidez,06,Por gravidez,VERDADEIRO,VERDADEIRO
,,07,"Por ter que realizar afazeres domésticos ou cuidar de criança, adolescente, idoso ou pessoa com deficiência",07,"Por ter que realizar afazeres domésticos ou cuidar de criança, adolescente, idoso ou pessoa com deficiência",VERDADEIRO,VERDADEIRO
,,08,Estudando para concurso ou por conta própria para vestibular/ENEM,08,Estudando para concurso ou por conta própria para vestibular/ENEM,VERDADEIRO,VERDADEIRO
,,09,Por já ter concluído o nível de estudo que desejava,09,Por já ter concluído o nível de estudo que desejava,VERDADEIRO,VERDADEIRO
,,10,Por ter problema de saúde permanente,10,Por ter problema de saúde permanente,VERDADEIRO,VERDADEIRO
,,11,Não tem interesse em estudar,11,Não tem interesse em estudar,VERDADEIRO,VERDADEIRO
,,12,Outro motivo,12,Outro motivo,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
Parte 4 - Características de trabalho das pessoas de 14 anos ou mais de idade,,,,,,VERDADEIRO,VERDADEIRO
PND2T079N0,V4001,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não ,2,Não ,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T080N0,V4002,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T081N0,V4003,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T082N0,V4004,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T083N0,V4005,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T084N0,V4006,1,"Férias, folga ou jornada de trabalho variável ",1,"Férias, folga ou jornada de trabalho variável ",VERDADEIRO,VERDADEIRO
,,2,Licença maternidade,2,Licença maternidade,VERDADEIRO,VERDADEIRO
,,3,Licença remunerada por motivo de doença ou acidente da própria pessoa,3,Licença remunerada por motivo de doença ou acidente da própria pessoa,VERDADEIRO,VERDADEIRO
,,4,"Outro tipo de licença remunerada (estudo, paternidade, casamento, licença prêmio, etc.) ",4,"Outro tipo de licença remunerada (estudo, paternidade, casamento, licença prêmio, etc.) ",VERDADEIRO,VERDADEIRO
,,5,"Afastamento do próprio negócio/empresa por motivo de gestação, doença, acidente, etc., sem ser remunerado por instituto de previdência",5,"Afastamento do próprio negócio/empresa por motivo de gestação, doença, acidente, etc., sem ser remunerado por instituto de previdência",VERDADEIRO,VERDADEIRO
,,6,"Fatores ocasionais (tempo, paralisação nos serviços de transportes, etc.)",6,"Fatores ocasionais (tempo, paralisação nos serviços de transportes, etc.)",VERDADEIRO,VERDADEIRO
,,7,Greve ou paralisação,7,Greve ou paralisação,VERDADEIRO,VERDADEIRO
,,8,Outro motivo,8,Outro motivo,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T085N0,V4006A,1,"Férias, folga ou jornada de trabalho variável ",1,"Férias, folga ou jornada de trabalho variável ",VERDADEIRO,VERDADEIRO
,,2,Licença maternidade ou paternidade,2,Licença maternidade ou paternidade,VERDADEIRO,VERDADEIRO
,,3,Licença remunerada por motivo de saúde ou acidente da própria pessoa,3,Licença remunerada por motivo de saúde ou acidente da própria pessoa,VERDADEIRO,VERDADEIRO
,,4,"Outro tipo de licença remunerada (estudo, casamento, licença prêmio, etc.) ",4,"Outro tipo de licença remunerada (estudo, casamento, licença prêmio, etc.) ",VERDADEIRO,VERDADEIRO
,,5,"Afastamento do próprio negócio/empresa por motivo de gestação, doença, acidente, etc., sem ser remunerado por instituto de previdência",5,"Afastamento do próprio negócio/empresa por motivo de gestação, doença, acidente, etc., sem ser remunerado por instituto de previdência",VERDADEIRO,VERDADEIRO
,,6,"Fatores ocasionais (tempo, paralisação nos serviços de transportes, etc.)",6,"Fatores ocasionais (tempo, paralisação nos serviços de transportes, etc.)",VERDADEIRO,VERDADEIRO
,,7,Outro motivo,7,Outro motivo,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T086N0,V4007,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T087N0,V4008,1,Menos de 1 mês ,1,Menos de 1 mês ,VERDADEIRO,VERDADEIRO
,,2,De 1 mês a menos de 1 ano ,2,De 1 mês a menos de 1 ano ,VERDADEIRO,VERDADEIRO
,,3,De 1 ano a menos de 2 anos,3,De 1 ano a menos de 2 anos,VERDADEIRO,VERDADEIRO
,,4,2 anos ou mais ,4,2 anos ou mais ,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T088N0,V40081,01 a 11,01 a 11 meses,01 a 11,01 a 11 meses,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T089N0,V40082,00 a 11,00 a 11 meses,00 a 11,00 a 11 meses,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T090N0,V40083,02 a 98,02 anos ou mais ,02 a 98,02 anos ou mais ,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
 2 - Pessoas Ocupadas,,,,,,VERDADEIRO,VERDADEIRO
PND2T091N0,V4009,1,Um ,1,Um ,VERDADEIRO,VERDADEIRO
,,2,Dois,2,Dois,VERDADEIRO,VERDADEIRO
,,3,Três ou mais,3,Três ou mais,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T092N0,V4010,código,"Ver  ""Composição dos Grupamentos Ocupacionais"" e ""Classificação de Ocupações para as Pesquisas Domiciliares – COD"" em ANEXO de Notas Metodológicas",código,"Ver  ""Composição dos Grupamentos Ocupacionais"" e ""Classificação de Ocupações para as Pesquisas Domiciliares – COD"" em ANEXO de Notas Metodológicas",VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T093N0,V4012,1,Trabalhador doméstico,1,Trabalhador doméstico,VERDADEIRO,VERDADEIRO
,,2,"Militar do exército, da marinha, da aeronáutica, da polícia militar ou do corpo de bombeiros militar",2,"Militar do exército, da marinha, da aeronáutica, da polícia militar ou do corpo de bombeiros militar",VERDADEIRO,VERDADEIRO
,,3,Empregado do setor privado,3,Empregado do setor privado,VERDADEIRO,VERDADEIRO
,,4,Empregado do setor público (inclusive empresas de economia mista),4,Empregado do setor público (inclusive empresas de economia mista),VERDADEIRO,VERDADEIRO
